code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
BNB-USDT,2019-02-19,2019-02-24,stop_real,10.4728,9.9442,-5.0474,4.8739,-7.2615
BNB-USDT,2019-03-01,2019-03-05,stop_fantasma,11.3111,13.6230,20.4392,14.6476,19.4928
BNB-USDT,2019-03-06,2019-03-21,stop_real,14.5294,14.3567,-1.1886,2.5287,-5.1405
BNB-USDT,2019-03-24,2019-04-02,stop_fantasma,17.1096,19.7155,15.2306,11.0966,10.2114
BNB-USDT,2019-04-18,2019-04-19,stop_fantasma,21.8888,24.3188,11.1016,12.8237,11.1016
BNB-USDT,2019-04-20,2019-04-24,stop_real,24.8888,22.9877,-7.6384,4.1657,1.8819
BNB-USDT,2019-05-15,2019-05-17,stop_real,26.8116,25.7986,-3.7782,11.1352,-1.9373
BNB-USDT,2019-05-18,2019-06-04,stop_real,28.8171,29.2452,1.4856,-1.6237,-4.8666
BNB-USDT,2019-06-20,2019-06-27,stop_real,36.8381,34.3420,-6.7759,0.2139,-4.7593
BNB-USDT,2020-02-06,2020-02-09,stop_fantasma,20.6675,24.3517,17.8261,9.5524,11.8923
BNB-USDT,2020-02-10,2020-02-15,stop_real,25.1465,24.2388,-3.6096,0.9851,-7.9572
BNB-USDT,2020-07-12,2020-07-16,stop_real,18.2994,17.1647,-6.2007,1.0707,-2.6674
BNB-USDT,2020-07-24,2020-08-02,stop_real,19.1853,20.9899,9.4062,6.6919,-2.9005
BNB-USDT,2020-08-05,2020-08-11,stop_real,23.2728,21.2993,-8.4799,1.3544,-5.9491
BNB-USDT,2020-09-01,2020-09-03,stop_real,24.7028,20.4027,-17.4073,-7.9115,-17.7911
BNB-USDT,2020-09-12,2020-09-16,stop_real,28.5050,27.8539,-2.2842,6.4638,2.7708
BNB-USDT,2020-11-24,2020-11-25,stop_real,33.9407,31.2950,-7.7951,1.0762,-7.7942
BNB-USDT,2020-12-28,2021-01-11,stop_real,35.9510,38.1623,6.1509,0.9686,-9.9891
BNB-USDT,2021-01-17,2021-01-21,stop_real,45.8675,38.6596,-15.7146,-0.2466,-9.3238
BNB-USDT,2021-02-01,2021-02-05,stop_fantasma,51.4781,67.6217,31.3601,14.0093,20.9804
BNB-USDT,2021-02-06,2021-02-08,stop_fantasma,72.8356,79.8734,9.6626,15.2619,16.7996
BNB-USDT,2021-02-09,2021-02-10,stop_fantasma,107.3469,128.9463,20.1211,15.9714,20.1442
BNB-USDT,2021-02-17,2021-02-19,stop_fantasma,165.3233,333.2212,101.5573,16.8919,70.3021
BNB-USDT,2021-04-05,2021-04-16,stop_real,368.0263,508.2614,38.1046,-1.0069,-6.2021
BNB-USDT,2021-05-03,2021-05-13,stop_real,676.1500,571.1000,-15.5365,1.2840,-3.9603
BNB-USDT,2021-08-10,2021-09-07,stop_real,371.9200,418.7000,12.5780,-5.6538,-15.6017
BNB-USDT,2021-10-29,2021-11-10,stop_real,530.3000,614.2000,15.8212,4.3343,-3.2913
BNB-USDT,2022-10-29,2022-11-04,stop_fantasma,304.4000,354.7000,16.5243,7.4480,7.6176
AVAX-USDT,2021-08-17,2021-08-18,stop_fantasma,23.4460,29.9920,27.9195,17.0765,27.9237
AVAX-USDT,2021-08-20,2021-08-24,stop_fantasma,39.1550,55.4750,41.6805,20.1662,19.4248
AVAX-USDT,2021-09-16,2021-09-21,stop_real,67.5600,59.0000,-12.6702,11.5503,2.8781
AVAX-USDT,2021-09-23,2021-10-10,stop_real,76.4400,56.5000,-26.0858,0.7183,-6.7953
AVAX-USDT,2021-11-07,2021-11-26,stop_real,87.5700,104.3000,19.1047,-4.6674,-12.5765
